F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,Label
0.91196,0.43691,0.43465,0.56027,0.39059,1.9097,1.5392,2.1052,3.196,4.092,5.1428,2.3547,0.64176,1.6952,1.8419,1.0014,0.31018,0.50175,0.3386,0.30626,0.24712,0.38256,0.30462,0.32598,0.11023,0.7702,0.3606,0.82542,0.37192,0.35647,0.23402,0.5372,0.83808,0.4822,0.24533,0.22111,0.72752,0.38233,0.35504,0.81576,0.38964,0.61673,0.54223,0.51832,0.66254,0.3518,0.56628,0.32861,0.27526,0.34368,0.35782,1,Corona
1.3406,0.91383,0.90503,0.98371,0.24812,2.1301,1.1259,2.0005,3.2291,4.1058,4.159,2.1703,0.78579,1.608,0.56866,1.6795,0.18642,0.45027,0.35686,0.37613,0.7087,0.32171,0.30243,0.34243,0.29023,0.2377,0.27492,0.35173,0.62512,0.66395,0.087825,0.21018,0.82125,0.20729,0.6197,0.38034,0.93218,0.26136,0.40472,0.3543,0.26903,0.12861,0.72498,0.69713,0.263,0.28717,0.74476,0.45981,0.55263,0.30654,0.26043,1,Corona
0.27786,0.37239,0.93594,0.634,0.33109,2.6311,0.66087,1.4609,2.0548,2.4545,2.1706,0.16233,1.7166,1.7569,1.542,2.2134,0.099655,0.27163,0.24641,0.083952,0.46985,0.57056,0.08834,0.60787,0.39505,0.28368,0.26701,0.22222,0.41942,0.35441,0.3462,0.67667,0.11025,0.37867,0.43819,0.38078,0.25974,0.88434,0.78879,0.57018,0.30021,0.58399,0.62992,0.30818,0.19325,0.39358,0.23179,0.38751,0.33798,0.69774,0.61064,1,Corona
0.95576,0.48825,0.38136,0.54219,0.1058,3.5041,1.2124,2.5345,3.3641,3.2987,2.4502,2.4445,0.76463,0.79748,1.3138,1.2293,0.25081,0.22092,0.21845,0.37262,0.43155,0.78736,0.82146,0.98513,0.14934,0.35743,0.30631,0.32397,0.24403,0.25837,0.142,0.33045,0.12781,0.19531,0.24183,0.38252,0.23043,0.43246,0.24187,0.073192,0.2199,0.25524,0.21448,0.1941,0.11899,0.33066,0.25508,0.56948,0.33384,0.43832,0.30065,1,Corona
0.93924,0.38804,0.76717,0.73542,0.71749,2.4532,1.2613,1.8465,2.8251,3.5762,3.904,1.9112,0.91222,1.2178,1.1984,1.5499,0.31717,0.27764,0.36866,0.69124,0.15343,0.40774,0.95202,0.7038,0.44426,0.53459,0.49035,0.53998,0.066202,0.49991,0.1056,0.26558,0.23045,0.47165,0.28875,0.6741,0.33586,0.37875,0.10159,0.31784,0.020186,0.38855,0.43367,0.34743,0.28857,0.23762,0.20461,0.50534,0.3019,0.63543,0.20311,1,Corona
0.96344,0.47603,0.81627,0.60684,0.85175,2.0899,1.3948,1.825,2.7098,4.8459,4.0562,2.1079,1.2136,2.1844,1.2765,1.0882,0.6821,0.41868,0.62345,0.4783,0.42508,0.31853,0.49887,0.58609,0.85464,0.1447,0.29482,0.33262,0.7061,0.10485,0.21168,0.71926,0.60319,0.13727,0.54884,0.25441,0.24125,0.36881,0.37554,0.15877,0.39194,0.54507,0.73619,0.38607,0.29152,0.096992,0.6262,0.099223,0.1869,0.29326,0.31592,1,Corona
0.79724,0.23181,0.51373,0.21374,0.26044,2.2374,1.1409,1.789,2.9539,3.293,3.6924,0.93794,1.3831,1.5153,1.5773,2.5131,0.6104,0.060916,0.21417,0.57884,0.25573,0.22475,0.70314,0.23587,0.69387,0.71601,0.19503,0.48865,0.14731,0.49237,0.62921,0.40424,0.39522,0.1019,0.45298,0.23292,0.1761,0.26851,0.2335,0.24135,0.1448,0.25268,0.46363,0.30176,0.22829,0.35113,0.36567,0.48272,0.27204,0.247,0.2627,1,Corona
0.074605,0.4755,0.26183,0.36296,0.075268,1.3549,1.0627,1.2209,1.5958,2.351,2.8362,0.75772,1.2865,1.4474,0.91162,2.8528,0.61364,0.20159,0.034408,0.62731,1.1536,0.93886,1.0774,1.0152,0.19728,0.7005,0.84094,0.78548,0.57183,0.24237,0.42369,0.77071,0.31848,0.3772,0.28677,0.30102,0.284,0.11193,0.50134,0.072942,0.098428,0.31099,0.089663,0.47523,0.42226,0.50846,0.3165,0.53912,0.68021,0.43721,0.26676,1,Corona
0.96332,0.69573,0.50133,0.32074,0.38804,1.6143,1.4627,2.0966,3.2006,3.2639,3.3876,1.1108,0.77783,1.213,1.0812,1.74,0.21417,0.40267,0.67529,0.53102,0.47626,0.71676,0.46612,0.5597,0.12588,0.24753,0.28164,0.43217,0.37369,0.56155,0.30503,0.28357,0.21254,0.10549,0.12779,0.20912,0.31816,0.59294,0.98811,0.4707,0.28198,0.078948,0.22503,0.33445,0.67295,0.13612,0.22594,0.86498,0.75939,0.034481,0.55391,1,Corona
1.2084,0.94913,0.3905,0.12462,0.85605,2.6083,1.564,2.0371,2.8677,4.8604,4.7333,1.8168,1.3384,1.4742,1.2658,0.84743,0.41903,0.57853,0.77787,0.67228,0.80661,0.90454,0.86656,0.70678,0.23438,0.50927,0.1185,0.50699,0.069892,0.22536,0.15459,0.085513,0.19973,0.49241,0.20046,0.31501,0.099186,0.20199,0.39734,0.31369,0.31023,0.12411,0.3348,0.43474,0.62438,0.52137,0.61702,0.40316,0.1768,0.2899,0.58655,1,Corona
