F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,Label
0.8135,0.9714,2.8065,0.90714,0.8083,1.2867,1.1335,2.5725,2.8725,1.2065,5.7807,4.0748,3.7966,5.3016,5.4692,3.305,1.7124,1.3518,0.88117,1.6834,1.347,2.1813,2.5624,1.4466,0.98316,0.54452,1.8135,2.0467,1.7871,1.8687,1.0432,2.2217,2.0453,1.4933,1.4757,3.3699,0.65534,1.2502,2.9339,1.5187,1.0237,1.9326,1.7985,1.0813,3.4966,1.0957,0.78751,1.1924,0.76197,1,Corona
0.59752,0.35632,0.76393,0.54561,1.062,1.2989,2.2892,2.7594,3.478,3.5669,4.3866,2.5887,2.9191,4.3825,4.7129,2.6211,2.0912,1.469,1.4385,0.13324,1.9675,0.89674,1.7489,0.66178,1.8586,1.2119,1.168,0.17131,1.6331,0.67327,2.0335,0.26578,0.98569,0.81673,0.66062,0.64295,1.3255,1.4088,0.53012,0.010023,0.64624,2.2287,0.69223,1.6531,0.75521,0.52108,1.064,0.65255,0.58626,1,Corona
0.068422,0.84662,0.34165,1.6234,1.5665,2.4835,2.7096,3.0112,2.8256,2.9685,3.4607,2.2567,1.9654,3.3202,3.5364,1.9488,3.1395,2.5395,1.5588,1.5811,3.1182,1.5575,2.3636,0.69055,1.6583,1.369,1.5922,1.0839,0.36594,1.7844,0.52632,0.55108,1.2967,0.72923,1.6648,2.1937,1.1058,0.51867,1.1745,0.57494,0.51897,2.3537,0.79728,2.1867,0.57463,0.51142,0.39793,1.0487,0.29869,1,Corona
0.44701,1.0703,0.34083,1.6126,2.8239,1.9407,2.7726,1.1438,3.43,1.9782,2.0463,1.0936,1.3145,2.2691,2.905,2.4848,1.8407,2.5965,1.7096,0.53915,2.0644,2.1348,2.0356,1.1726,0.43161,1.3034,0.17608,0.13028,0.43257,1.2554,1.3436,0.63662,0.37215,0.7589,0.85174,0.041627,0.76839,0.99884,1.5026,1.607,0.40624,1.0757,1.5023,0.90466,1.2871,0.1622,1.6672,1.0899,0.070629,1,Corona
0.13736,0.30351,1.2963,0.379,3.944,1.009,2.4308,1.558,4.2904,2.7735,3.259,3.0087,3.896,5.5825,4.3181,2.5869,2.6185,1.6148,0.53495,1.8335,2.6801,2.6491,3.2895,0.91787,1.7598,0.4378,0.58797,0.89773,0.27531,0.54548,1.0078,0.72828,2.5662,0.83106,0.97759,1.1262,1.5042,0.43427,0.40239,0.17625,0.51222,0.71164,1.499,0.95381,1.2574,1.0605,0.87591,1.5925,0.89753,1,Corona
0.09603,1.6246,1.5304,1.0163,1.302,1.9554,3.559,2.0358,2.9805,2.5978,4.0397,2.8719,4.4253,6.5563,4.9822,2.3367,1.6896,2.1098,1.0713,1.0557,1.1942,1.746,1.9027,0.59319,0.73795,0.39232,2.1464,1.9957,0.29279,0.88903,0.49954,3.0666,1.8041,0.78398,0.43942,0.9008,2.5289,1.4193,2.5435,1.8538,1.1835,1.2253,0.75934,2.0795,2.1304,2.0179,0.77072,0.58672,0.61614,1,Corona
0.19689,0.80766,1.4934,0.12604,4.3705,1.7199,1.9147,2.3621,3.7972,3.3354,4.352,3.6074,3.0099,3.3361,2.8468,1.6823,1.7423,1.1006,1.7134,3.4048,1.6864,0.9907,1.1996,1.5699,1.2991,1.8073,0.69984,1.0596,0.52265,1.0784,0.64925,2.2656,2.5274,1.4976,1.442,0.97274,0.91176,1.4533,1.4424,1.0328,2.1324,1.2173,1.3315,1.261,1.8814,0.85298,1.3091,1.4794,0.62782,1,Corona
0.00018093,0.32344,1.4696,0.26708,0.79679,1.12,1.3017,1.2841,2.7192,3.0232,4.3454,3.2453,2.3802,2.07,0.27279,0.75113,3.0297,2.8647,2.5234,3.8528,3.6857,4.7013,2.625,1.807,0.69037,1.6206,1.3142,0.45885,0.98771,1.8238,0.58792,1.1405,2.1765,2.3676,0.96524,1.3236,0.90217,2.3492,0.87063,0.92738,0.31059,1.5363,1.599,1.5878,1.4998,3.0886,1.0589,1.1102,2.6397,1,Corona
1.9436,1.6167,0.3035,1.3485,0.28397,1.0344,1.0971,3.1697,1.9397,2.4988,3.8577,3.3406,3.7603,5.0826,4.0359,2.6909,1.7082,2.0432,1.1286,0.84346,3.7128,1.1829,0.86549,1.3635,1.0676,1.0064,2.0484,0.44865,1.8491,1.0653,1.2615,0.91369,0.18654,0.79758,2.053,1.2944,0.70445,1.161,1.5745,0.80537,0.33583,1.7996,0.98617,1.4956,0.87836,1.0107,0.83101,1.8317,0.53477,1,Corona
4.6036,4.8639,1.8626,1.9814,4.3396,0.58578,2.8057,2.4738,5.0887,4.4447,4.5563,5.0774,4.7544,3.6741,3.2482,2.9503,0.86177,1.6473,0.37774,2.1238,1.8615,3.7122,3.2134,1.4227,2.582,1.5526,1.0838,2.0564,0.54616,1.9805,1.1977,1.229,2.0585,0.065343,1.827,1.0396,0.86417,1.3757,2.2512,3.9301,3.2708,1.3375,2.249,1.6367,2.1851,1.632,2.3978,2.2783,1.1394,1,Corona
1.0492,0.68072,0.46816,1.3744,3.4541,1.4813,1.4755,1.4348,4.0877,3.4473,4.1393,4.4652,4.9594,5.2746,3.9537,2.2874,3.0267,0.8842,0.85366,1.471,1.725,1.7253,0.57874,0.58503,0.6493,0.97003,0.21101,2.5068,2.7625,1.7181,0.20377,0.83155,1.0149,1.1713,1.6532,1.3932,0.52826,0.14248,1.3274,1.9294,1.8286,0.43673,2.0252,1.3236,1.51,1.4404,0.21199,2.3249,1.5268,1,Corona
0.9878,0.65485,2.3745,1.5546,3.2621,2.6283,0.57704,1.85,4.1301,1.8244,5.4655,5.9202,5.5282,4.4532,4.5405,2.7145,2.7649,1.7725,2.6325,2.0807,0.72426,1.8208,2.3744,0.37328,1.0138,1.6376,1.5365,0.56907,0.85064,2.1001,0.49622,0.32118,0.49663,0.79351,0.90442,1.2005,0.65514,1.731,2.2995,2.0272,0.9444,1.0486,1.2497,1.1185,1.1849,1.4528,0.2088,1.6875,1.2728,1,Corona
1.8591,1.3888,1.0869,0.18764,1.6825,2.2372,1.6635,2.0215,3.5673,2.1681,3.5121,4.4823,3.3311,1.354,1.9686,0.76802,0.93672,2.3401,2.5185,2.2675,3.7625,3.4016,3.3363,1.9616,0.58119,0.8815,0.16928,1.1378,1.599,2.0825,1.2682,2.1898,1.0844,0.83445,1.4779,1.2874,1.0208,2.302,2.6414,2.111,1.0857,1.6299,1.1867,1.4953,0.97786,1.2116,0.47831,1.3424,1.2611,1,Corona
0.88682,2.0922,1.1145,2.7199,5.0852,0.61478,1.8107,2.5879,1.9568,2.2831,4.2828,3.4854,3.731,5.1939,4.3019,1.7943,1.6339,2.2069,1.4372,0.79872,1.6436,0.64265,0.70595,1.1498,1.7771,1.1821,0.21983,0.79488,0.97033,1.0263,2.8818,0.67252,0.79166,0.73211,1.761,0.74523,1.0239,1.7748,1.9647,0.55467,0.93094,0.38676,0.57202,1.1925,0.79355,1.8133,1.7583,1.0659,1.2462,1,Corona
1.2736,0.82253,0.93915,1.2856,2.6329,0.27227,2.356,2.2242,1.1349,0.52017,4.9536,3.3236,4.9074,5.531,1.4977,0.35285,3.0684,2.489,4.8723,5.81,1.2293,3.0546,3.6608,2.3424,0.53305,1.0344,2.4391,1.2586,0.92582,1.3786,1.812,2.1669,0.51413,1.4337,1.7898,1.478,2.2794,0.94791,0.20639,0.61209,0.79425,1.6705,1.2606,1.8089,0.60206,2.0704,1.638,2.9003,1.8822,1,Corona
0.27708,0.1389,0.54312,1.593,5.6628,1.705,4.3178,3.4777,5.2367,1.9136,4.1184,1.9586,1.605,1.6707,1.7809,1.3444,4.134,2.992,2.9001,4.0976,3.9403,1.9118,2.5682,4.0801,1.6546,2.0296,0.43861,1.5565,1.8489,1.9255,0.44175,0.45284,1.5049,1.0861,2.2248,0.83001,0.59473,1.1667,1.3299,1.0969,2.3908,1.3069,0.32885,1.9295,0.42487,0.4155,0.021932,1.7215,1.187,1,Corona
0.65469,1.0179,0.96313,1.5157,2.104,1.4673,1.0257,2.4065,1.0998,1.6101,1.1896,2.3981,5.31,4.8274,2.3363,2.546,1.016,0.54174,1.1246,2.1437,1.2502,1.5511,1.242,1.0994,1.4594,0.76201,1.0323,0.83569,1.8056,1.0903,1.1409,0.99052,2.6215,1.9999,0.83903,0.25662,0.94068,2.4747,0.39137,1.4721,1.0292,0.90739,0.99792,2.0623,0.85747,1.7601,1.7463,0.60761,0.29201,1,Corona
0.92368,0.60087,0.75334,0.64365,5.4182,2.0227,2.7278,3.9681,4.0223,5.8069,5.7334,1.7029,3.0218,7.4125,5.1881,0.98992,1.5742,0.86473,1.199,0.75358,0.31994,1.411,1.7032,1.3991,0.65028,1.5681,2.5085,0.89296,0.9352,0.98614,0.56984,0.87112,2.4606,1.5755,1.4235,2.9828,1.8418,0.31017,2.3897,1.156,2.434,0.93298,1.0353,1.8649,1.3572,1.761,1.8885,1.2897,2.6058,1,Corona
0.30117,0.62744,0.54395,0.71832,3.5427,0.2202,2.6162,3.5968,4.5434,2.062,7.3541,4.6883,4.4446,5.2509,3.4392,1.8066,3.1214,3.5038,3.4589,2.5706,1.7112,1.6215,1.6748,1.8642,1.0549,3.8734,1.3156,1.8673,0.30411,1.2372,0.96978,1.7131,1.3032,2.5146,0.69906,2.2809,0.30176,2.8511,1.9764,0.39408,1.4158,3.1307,2.0375,0.81922,1.4576,0.94116,1.9931,2.2548,1.8719,1,Corona
