F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,Label
2.3126,4.7369,2.6435,0.36336,3.3887,6.124,0.68074,5.5407,5.7093,0.94203,4.5845,7.7452,8.2946,5.9799,3.3733,5.215,1.3338,4.8046,3.3691,6.3699,3.8958,2.9254,9.0384,4.6056,3.9321,4.0725,2.7485,6.1335,2.3545,2.5624,1,Corona
1.0088,6.7972,1.9489,2.7315,4.4156,2.3677,2.4118,0.38328,5.3912,6.5243,3.4263,4.64,1.7635,2.4158,4.4678,2.8656,2.0533,5.1961,4.8759,4.3246,0.98707,5.6418,1.753,4.4105,1.7509,4.8774,4.2973,5.6128,4.4058,4.9563,1,Corona
2.7834,0.83659,2.9489,6.0538,1.5314,3.4205,3.248,4.3921,2.0055,2.2594,2.5722,2.1731,2.943,3.2525,2.9353,1.1208,3.7176,0.87286,6.7757,3.3059,2.1301,2.582,0.81496,5.4422,3.4315,3.6947,5.2691,2.2631,7.3517,6.3749,1,Corona
0.10589,4.5766,1.5994,5.0991,3.3164,2.2899,1.8063,2.4706,3.182,6.3356,2.068,3.1078,3.5868,1.8852,4.6395,1.476,1.6989,2.4677,1.2481,4.3192,4.0271,6.8826,3.0845,2.2168,4.1542,2.7359,3.8384,0.41777,3.2551,1.8418,1,Corona
2.1789,3.9078,5.7858,5.3261,3.7651,1.3607,7.5465,2.4865,0.84514,0.91776,3.1951,2.3891,5.4098,5.8287,3.555,1.1919,0.33269,1.3491,1.1811,1.9858,5.0082,3.7149,8.1628,3.0485,4.9171,0.58916,5.5527,3.3551,5.9552,6.8283,1,Corona
6.8855,0.26605,10.14,3.7952,6.2502,3.2831,2.953,1.8573,7.2659,7.3916,3.3717,3.8241,1.8538,6.5416,1.7067,2.644,5.661,1.5477,2.3908,5.6477,4.154,2.7703,2.1653,8.3711,1.9604,6.1849,3.2548,6.6681,2.7722,6.7917,1,Corona
0.11816,6.029,5.4223,6.4901,7.4273,2.3672,3.7202,1.7079,3.026,1.0702,2.3907,6.8343,1.953,2.033,2.5197,2.4497,3.1667,3.6959,2.7619,3.9048,1.9879,7.1817,2.0184,4.9107,4.1231,5.0409,4.4191,1.7451,3.9049,1.4705,1,Corona
1.4733,5.5257,0.53388,4.7277,3.0011,3.308,2.571,1.9832,3.8735,3.1027,4.0618,7.1078,3.6314,1.5841,3.1668,4.4023,1.2434,6.8863,2.6031,2.4332,2.0075,0.79394,2.3238,3.0065,2.7569,5.1475,3.2224,4.405,2.4669,1.993,1,Corona
1.3686,7.3478,6.0232,7.1133,9.0501,0.85962,0.40132,2.412,9.2117,1.4236,2.4491,1.6529,1.6499,1.7954,7.6045,4.589,3.2616,4.083,6.9745,8.2708,5.3276,1.698,2.5659,4.9797,2.7854,6.0948,5.1999,4.8773,1.9218,3.8735,1,Corona
6.8614,12.163,5.7609,1.3648,2.8216,3.6445,2.1614,3.2028,0.72067,6.7903,1.9506,1.463,2.1969,7.0835,6.6832,4.4185,0.90703,5.9444,4.1006,11.281,2.3236,4.5631,6.6754,9.647,0.43576,2.7976,2.4033,5.3532,3.4658,3.9643,1,Corona
