F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,Label
9.7945,7.6308,6.7975,21.429,10.779,16.799,4.906,13.313,20.278,19.999,14.849,17.908,8.7879,17.307,7.9286,14.206,3.5102,15.3,28.482,8.5969,10.814,24.417,10.406,19.162,11.555,9.5065,5.6017,11.885,15.186,4.5134,19.197,8.5483,16.021,9.7104,21.952,1,Corona
14.329,9.1268,20.569,11.039,24.768,17.236,6.1275,10.956,15.007,22.482,20.443,7.6638,11.671,13.172,20.234,10.441,14.134,11.783,25.717,9.4442,1.218,7.1086,12.191,18.245,26.34,2.4375,19.009,7.8119,15.155,6.6721,12.036,5.7421,26.551,9.078,8.8298,1,Corona
16.785,19.572,10.409,7.3624,18.781,9.8414,16.738,1.8601,11.041,15.444,16.239,19.598,1.6443,17.366,9.8035,7.1873,15.926,8.9563,12.193,5.0422,8.5013,2.9798,6.1531,10.329,4.1987,13.003,21.026,8.1526,10.828,2.95,6.0246,12.351,15.492,1.0631,4.9303,1,Corona
19.625,3.8484,12.995,3.7845,5.928,11.149,9.1469,10.696,6.7094,10.209,13.802,11.25,6.29,12.636,8.3365,21.435,14.235,12.027,4.5194,8.2263,5.6307,19.766,7.8911,1.619,0.96551,4.4748,7.7818,2.0588,6.8212,8.3369,6.0237,8.7833,8.2063,5.0577,3.6157,1,Corona
13.179,1.0802,17.914,5.8709,16.012,13.374,10.653,16.482,17.725,8.4783,2.2752,10.581,8.7828,16.229,9.07,13.328,13.397,3.1579,4.4288,17.306,18.388,13.758,11.022,8.6036,10.504,11.41,18.134,6.6335,25.313,2.3802,16.093,8.0299,5.4353,16.65,12.696,1,Corona
12.628,9.1063,16.686,12.571,18.765,15.29,14.921,15.397,9.5234,32.633,15.478,10.144,18.555,14.024,30.266,13.157,16.656,13.459,4.9389,12.364,3.8276,18.605,19.532,5.506,10.71,6.4357,1.5478,14.381,6.7999,14.605,17.935,11.865,4.641,6.1627,7.4979,1,Corona
1.3053,9.4244,9.4384,9.6632,11.63,7.8174,17.883,8.976,8.4003,16.325,9.3961,10.767,33.947,12.838,14.426,20.878,15.392,6.6641,5.4809,12.955,22.15,5.1251,15.983,11.072,17.624,6.5792,7.336,9.1949,14.349,13.47,3.9584,6.3641,11.387,6.1217,9.7427,1,Corona
25.973,12.825,10.694,2.9192,9.2763,9.651,9.4713,19.232,22.717,8.084,22.206,33.625,6.6637,13.735,25.22,10.084,18.79,8.7566,11.418,8.6734,18.424,11.095,7.2879,8.8872,4.7228,15.649,12.149,11.115,4.002,22.431,3.8599,1.7593,10.631,13.883,8.2252,1,Corona
16.55,22.209,12.345,4.3616,13.586,18.252,30.121,9.0875,15.178,7.5691,7.9621,16.367,15.267,17.54,19.836,18.904,16.184,5.9094,19.567,11.612,18.569,4.3973,17.55,8.7081,16.458,15.982,8.5131,10.7,21.682,12.658,18.083,19.643,10.204,6.5134,9.2739,1,Corona
8.3427,13.044,13.609,3.8594,10.329,4.8405,8.5998,38.936,11.798,15.593,10.14,17.662,20.344,30.638,8.4065,5.3527,24.361,1.7632,4.8669,18.815,11.117,25.793,22.248,8.6045,13.944,14.825,16.615,7.8812,3.9271,5.8354,5.8768,17.944,12.83,7.1696,6.7463,1,Corona
