F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,Label
10.34,23.522,16.526,55.918,26.281,27.141,59.5,32.387,66.797,40.492,66.839,19.36,60.295,86.703,64.863,96.766,49.018,46.506,0.56603,75.049,40.181,9.6269,86.995,24.866,28.569,31.162,36.766,6.2495,70.385,44.519,49.78,1,Corona
86.519,54.481,51.532,3.5408,32.683,21.81,12.776,28.137,43.706,49.112,41.621,7.9876,20.88,55.861,38.875,35.422,38.457,5.8147,65.808,54.248,16.491,31.973,24.815,22.351,38.054,64.949,29.531,34.003,19.408,27.55,50.56,1,Corona
31.016,38.286,29.138,29.116,64.014,12.03,16.705,22.977,32.3,8.7967,53.722,24.334,59.478,65.908,24.278,47.165,38.395,64.465,40.183,20.547,26.26,36.674,34.553,47.429,35.291,68.161,43.606,9.8754,16.623,5.5231,33.021,1,Corona
36.748,54.699,38.762,23.317,24.925,62.021,12.46,17.232,14.912,42.526,26.51,33.925,7.642,54.621,58.714,37.857,48.178,18.838,18.803,7.1368,54.118,32.98,28.427,47.464,45.28,27.815,20.429,57.52,41.729,21.273,7.8831,1,Corona
69.157,23.411,25.482,41.899,14.078,34.97,23.55,19.039,63.269,13.018,13.46,35.521,21.455,9.609,34.159,55.368,37.86,18.617,32.244,10.639,42.177,38.519,70.419,43.467,24.116,39.187,4.2368,45.67,4.8095,16.2,22.583,1,Corona
8.454,71.364,63.538,21.227,38.811,30.27,23.554,19.817,50.777,30.223,46.404,80.934,76.159,41.9,91.679,14.775,18.56,47.067,27.295,31.764,70.451,62.802,24.977,47.201,34.328,33.238,6.8747,35.686,36.165,51.946,29.067,1,Corona
27.118,26.909,83.864,24.594,14.968,11.474,65.282,19.308,98.441,26.505,42.442,35.719,86.204,89.582,31.127,39.654,4.6745,10.771,37.891,26.679,30.993,42.437,19.373,7.6656,32.12,48.205,10.117,57.605,38.58,51.969,78.243,1,Corona
24.818,41.893,30.542,45.169,45.874,40.267,23.368,13.646,61.742,45.114,51.71,19.05,28.512,33.876,80.548,13.897,68.385,18.91,56.872,13.879,61.814,12.785,13.008,48.052,67.4,42.159,25.212,69.874,19.702,36.82,28.434,1,Corona
28.433,55.276,15.913,51.886,16.1,76.482,49.613,35.946,52.157,56.49,22.873,40.351,80.297,7.9055,27.511,27.66,29.152,44.578,26.448,33.969,10.428,60.003,30.54,27.117,23.536,34.056,26.637,24.309,53.502,74.863,51.371,1,Corona
11.217,43.614,59.686,24.727,67.624,31.95,35.696,61.42,55.254,33.697,74.149,48.482,60.132,23.185,64.961,4.422,84.066,76.098,25.207,40.222,59.959,63.594,46.29,55.335,57.435,58.668,17.735,16.899,48.2,13.576,62.905,1,Corona
17.435,111.53,23.203,5.9239,52.861,33.932,8.9576,73.543,13.951,17.348,48.96,30.694,18.895,32.334,43.19,56.668,47.116,25.494,56.257,41.92,46.327,23.516,58.515,25.505,25.715,84.687,30.062,52.186,17.824,33.976,34.265,1,Corona
17.727,78.099,19.38,44.65,46.333,15.253,46.723,31.566,29.937,34.581,43.702,20.646,50.26,74.089,63.084,81.045,94.033,7.4894,54.302,12.515,57.454,36.595,32.109,10.37,51.442,48.395,61.365,86.473,28.782,35.482,81.936,1,Corona
19.418,36.762,3.2046,37.374,6.813,49.875,40.337,33.842,55.701,36.527,25.175,28.724,38.268,29.567,15.576,27,36.661,45.505,80.432,88.417,23.564,53.293,27.356,17.424,38.012,23.783,66.452,21.14,24.072,60.677,60.662,1,Corona
25.684,62.644,90.166,47.071,71.433,22.537,38.212,81.539,22.292,50.16,37.831,92.345,19.133,83.758,28.288,42.606,46.348,22.029,14.699,29.849,44.87,70.22,74.758,45.19,37.297,71.921,19.643,86.388,20.652,84.162,45.552,1,Corona
7.0185,70.531,30.832,32.906,76.06,26.846,4.7683,14.017,50.408,65.55,15.497,11.166,8.3889,7.5609,33.971,70.546,35.683,36.545,57.38,31.016,50.753,74.146,35.422,43.737,32.308,51.83,24.497,20.57,19.044,65.058,61.616,1,Corona
2.9496,37.718,23.041,20.846,19.487,52.53,13.037,41.923,51.059,40.066,64.794,39.367,94.167,48.542,59.465,16.395,47.795,80.479,16.534,20.37,21.898,42.263,49.371,52.257,25.849,32.188,73.165,76.42,96.057,78.78,41.766,1,Corona
36.074,16.651,20.615,20.154,13.561,59.272,17.782,94.778,46.199,43.225,84.253,49.688,47.673,46.397,55.432,37.115,33.806,31.625,47.986,47.649,24.04,40.443,27.392,24.996,51.112,41.917,19.092,73.401,72.925,59.657,56.744,1,Corona
76.01,96.611,92.112,44.302,53.549,21.329,87.486,84.312,75.929,77.52,41.887,26.624,57.586,72.001,14.008,50.62,41.223,33.544,60.809,33.64,21.212,70.463,20.684,84.595,24.902,55.092,63.465,60.344,28.088,68.443,18.918,1,Corona
50.194,37.616,36.343,48.573,40.995,113.31,15.402,59.728,51.93,24.757,65.975,40.368,79.074,56.887,25.025,96.921,34.654,30.361,27.927,61.752,36.639,56.321,26.057,11.518,43.328,59.739,90.7,70.085,73.52,13.743,30.311,1,Corona
128.72,59.742,11.134,55.414,44.818,34.508,68.623,31.65,61.568,103.95,35.488,24.362,178.83,46.699,16.988,55.872,65.232,30.374,38.763,82.878,33.914,37.955,33.987,39.455,90.239,29.323,27.84,56.124,135.25,14.39,76.403,1,Corona
48.568,40.82,52.292,50.246,60.579,57.775,54.981,27.626,72.616,30.95,54.673,101.22,54.374,106.89,84.422,51.333,74.452,28.739,57.194,14.657,26.05,31.772,45.744,89.956,62.647,18.42,59.908,24,68.052,32.387,80.503,1,Corona
62.728,88.825,45.662,114.84,24.487,29.214,70.169,29.916,27.983,26.907,48.221,16.505,36.856,33.292,23.782,15.495,70.065,42.916,26.997,23.426,79.859,116.13,55.02,35.087,78.016,42.132,81.849,41.518,78.826,71.209,64.082,1,Corona
26.383,60.494,62.885,28.052,44.164,89.379,36.369,12.378,52.227,26.305,62.024,115.9,55.988,29.94,53.356,53.248,47.552,50.871,9.1739,66.223,26.564,12.322,29.192,18.946,69.371,68.196,64.438,40.249,35.234,65.342,52.715,1,Corona
32.622,1.9358,61.592,32.472,22.104,72.473,31.666,55.472,81.639,36.592,12.451,102.15,84.95,17.813,123.51,23.403,37.819,52.639,50.797,40.112,50.252,52.21,32.311,92.199,46.906,28.167,30.6,15.629,28.795,36.043,46.245,1,Corona
31.292,92.19,63.833,33.101,23.018,52.373,71.789,59.548,31.839,25.344,10.304,40.206,99.328,60.254,82.785,37.561,61.932,26.774,45.143,68.245,39.728,44.752,17.752,51.533,61.644,68.535,59.556,31.279,45.336,2.15,50.412,1,Corona
55.623,39.101,11.984,68.594,9.6169,46.799,126.1,50.465,100.97,59.812,67.607,6.3216,78.872,81.51,31.772,86.26,47.682,39.103,127.5,44.145,74.128,67.335,81.002,30.004,47.684,42.054,94.058,76.654,23.876,56.032,69.421,1,Corona
29.85,94.657,43.979,31.259,43.888,23.547,36.112,15.606,72.531,73.911,12.858,27.907,25.625,36.092,74.241,35.235,37.485,41.965,47.379,53.075,69.252,35.697,58.024,11.363,41.087,15.67,66.886,57.473,36.367,112.99,73.451,1,Corona
76.758,39.407,16.286,56.604,52.176,24.402,49.797,47.351,32.666,42.613,43.167,38.95,50.8,80.772,26.153,66.832,49.417,49.113,67.159,60.664,15.868,40.317,80.486,53.496,35.416,40.519,76.46,35.714,71.59,31.257,21.649,1,Corona
22.851,47.496,6.3267,19.033,43.578,11.273,23.868,30.499,16.583,32.357,61.788,33.146,35.041,55.544,42.101,69,15.278,44.436,52.935,17.878,22.75,49.5,47.062,34.458,26.792,50.717,9.1176,20.528,35.526,2.7586,70.143,1,Corona
37.065,22.601,84.78,57.197,11.04,30.636,37.151,3.3069,47.804,76.78,19.387,68.077,19.321,64.943,40.33,54.325,7.6457,47.208,80.387,31.963,59.223,82.387,85.367,12.414,16.926,37.337,69.843,34.35,75.01,35.75,27.541,1,Corona
0.98216,149.23,103.42,68.839,73.182,80.824,84.444,19.421,12.901,35.097,29.507,38.188,47.583,22.249,12.741,12.329,38.73,109.04,109.66,59.098,51.164,26.993,23.733,45.517,28.64,79.93,45.117,70.461,39.136,26.491,20.744,1,Corona
112.3,89.628,79.998,94.287,97.591,77.115,31.868,43.704,74.095,104.67,64.327,58.277,15.819,42.2,32.192,54.608,31.285,38.695,23.796,59,92.225,56.31,68.635,31.49,115.44,13.927,61.604,52.114,87.153,90.817,77.314,1,Corona
12.63,115.12,38.395,78.126,30.572,76.887,57.176,93.76,46.18,22.428,70.584,74.305,115.11,63.295,59.36,29.79,79.212,15.807,40.124,56.629,58.482,23.984,28.159,45.432,100.5,95.992,57.868,31.396,31.917,50.426,63.593,1,Corona
93.653,64.477,41.729,26.532,36.121,33.856,44.631,63.228,39.882,33.957,17.88,35.052,60.818,75.293,66.649,77.093,55.855,38.702,53.424,33.422,21.34,74.333,15.191,45.425,27.734,44.08,16.951,34.132,38.469,9.9135,49.292,1,Corona
72.814,97.532,73.871,17.32,90.738,19.667,68.134,63.107,122.82,69.342,66.354,56.814,80.908,9.3,43.968,118.07,44.123,50.819,95.283,34.852,21.993,74.284,46.827,63.151,30.21,100.86,73.039,68.075,127.5,80.058,78.498,1,Corona
40.9,41.054,21.765,71.32,46.854,27.316,139.99,56.029,112.38,65.992,17.149,15.6,47.2,75.964,78.799,66.585,45.627,60.518,3.1468,7.7187,70.483,46.637,82.675,22.129,35.96,30.468,54.562,41.086,74.274,49.17,82.901,1,Corona
29.402,87.394,67.568,87.945,102.46,49.049,68.141,136.83,37.197,83.135,24.812,100.46,54.624,67.837,94.134,134.17,14.162,56.386,77.203,72.007,113.97,37.34,86.437,102.4,9.0589,23.258,59.24,65.999,59.943,38.677,74.237,1,Corona
38.053,44.299,65.165,55.594,59.731,33.908,45.744,55.132,43.984,52.882,15.039,33.964,66.863,34.046,17.805,34.431,13.482,78.195,18.648,19.678,105.26,44.854,23.419,24.438,29.68,16.839,16.077,71.82,40.738,45.945,37.923,1,Corona
73.775,50.712,9.4603,19.798,60.174,6.8912,16.303,46.655,53.349,56.194,33.75,65.553,26.081,40.222,69.969,84.269,74.771,24.036,97.606,86.612,135.77,13.357,39.622,13.367,65.256,32.824,44.087,77.806,68.078,7.5988,75.761,1,Corona
19.868,54.399,92.03,3.4155,66.028,45.568,28.488,57.531,54.79,21.37,59.514,67.858,58.648,29.645,136.71,33.226,52.278,58.191,42.685,84.927,21.642,92.06,52.072,55.386,7.6028,95.714,84.502,64.604,84.214,90.94,18.556,1,Corona
92.599,82.601,62.298,76.931,47.375,67.392,67.289,50.115,86.75,44.179,56.377,24.247,37.116,70.383,69.548,79.649,53.76,26.292,31.934,48.313,73.306,19.294,113.16,58.866,40.181,86.559,53.417,109.36,34.088,45.194,45.323,1,Corona
5.6819,29.314,65.825,64.993,12.403,88.577,135.52,75.526,50.191,50.175,77.084,102.47,50.582,62.606,39.18,80.705,58.673,121.34,32.926,53.839,34.837,80.06,35.561,47.251,56.596,22.665,74.103,80.853,112.84,26.677,53.845,1,Corona
17.93,19.677,44.256,35.994,51.69,22.587,46.118,9.3572,26.127,52.143,57.249,45.657,61.906,44.086,61.592,62.827,51.207,15.757,63.028,8.3095,23.81,52.039,50.249,15.946,37.899,87.065,85.756,49.021,27.121,61.357,36.484,1,Corona
133.09,46.185,22.778,67.696,27.379,24.032,106.39,144.37,9.8578,60.762,15.186,77.411,45.495,50.359,53.296,100.63,49.984,37.435,97.16,35.537,59.994,56.854,102.36,31.14,48.849,48.904,58.599,23.828,75.67,69.022,26.211,1,Corona
114.64,13.569,26.034,26.824,46.932,54.773,97.739,44.251,26.304,7.3173,63.157,45.051,29.015,56.438,72.854,69.258,38.294,30,60.931,35.212,101.84,7.2953,99.508,24.441,57.694,72.806,61.28,59.764,83.779,107.77,36.793,1,Corona
71.624,145.18,36.099,63.016,32.22,56.778,28.998,12.317,70.738,67.11,65.163,48.438,36.116,27.237,64.199,4.6918,97.199,85.713,19.892,9.7464,71.609,83.578,25.687,72.013,46.016,11.884,41.233,107.1,43.467,52.855,93.851,1,Corona
25.875,53.24,27.426,85.287,34.524,100.1,102.14,29.5,96.659,73.401,44.019,60.732,54.596,17.429,6.3336,66.076,79.702,86.832,45.261,47.233,56.461,65.102,17.5,83.219,15.291,158.59,112.59,35.625,2.8333,33.92,122.94,1,Corona
14.944,56.135,12.23,30.195,52.139,52.285,28.141,39.834,55.593,71.491,28.167,17.505,91.206,88.313,92.189,53.412,15.887,49.899,77.657,3.2873,45.216,73.067,10.254,40.342,64.498,34.632,39.272,45.564,88.732,52.717,89.182,1,Corona
35.805,52.867,68.871,91.432,132.37,83.442,75.383,104.74,21.857,107.79,99.044,44.264,85.056,30.464,36.44,37.976,74.789,113.89,40.574,117.6,37.876,106.99,55.719,106.26,43.848,56.758,87.608,31.8,41.211,16.665,84.385,1,Corona
157.31,66.998,99.686,115.7,82.743,32.709,14.847,118.13,139.69,69.391,32.999,91.621,71.769,76.986,194.58,96.948,71.132,64.924,40.749,88.894,65.229,174.68,142.57,121.61,112.68,151.53,120.91,51.042,111.5,99.215,58.915,1,Corona
75.835,45.69,20.033,75.115,66.701,85.143,112.62,104.53,16.927,89.355,55.492,67.521,92.414,41.751,66.306,25.626,24.737,54.016,41.702,89.539,43.868,70.29,80.38,43.52,58.865,50.595,21.374,97.774,55.247,50.531,74.939,1,Corona
52.603,84.63,62.7,22.182,17.712,33.895,86.466,132.32,118.89,67.832,33.907,169.98,173.61,97.212,120.41,124.52,57.703,24.708,71.583,23.049,181.55,120.18,36.062,105.95,77.891,96.2,82.323,45.026,174.05,60.959,130.02,1,Corona
16.362,47.016,6.4737,32.208,88.252,85.479,34.55,89.737,102.92,73.269,124.2,47.239,50.921,4.3891,65.582,87.741,22.938,35.408,35.417,47.491,95.726,134.64,80.735,31.773,42.22,73.852,40.096,18.84,74.932,108.31,102.77,1,Corona
260.62,124.98,125.4,101.14,54.32,135.44,70.893,20.867,98.434,26.921,71.147,73.64,69.778,82.511,52.864,101.12,14.575,85.846,104.1,76.368,27.793,89.037,103.2,113.16,68.2,100.75,116.35,45.98,83.999,76.947,34.297,1,Corona
138.12,139.73,91.136,42.161,53.622,73.411,70.018,47.848,186.46,56.631,96.76,81.364,55.965,44.685,167.58,164.28,28.377,44.318,129.3,43.698,38.537,51.803,66.717,57.166,105.62,43.578,53.011,46.336,30.403,28.46,36.995,1,Corona
33.709,85.626,34.744,106.08,60.201,67.014,45.025,31.57,14.318,129.03,58.165,68.811,76.375,148.14,108.24,121.43,102.45,94.455,23.05,14.648,60.735,79.537,117.95,82.302,76.641,55.465,31.875,70.522,40.057,43.387,80.045,1,Corona
71.078,89.768,47.311,58.741,45.177,94.555,77.743,123.06,86.298,56.599,50.595,159.1,22.507,96.872,67.738,81.486,144.93,101.26,67.801,72,105.81,87.138,72.765,63.654,95.521,64.059,67.426,72.993,119.7,102.08,91.585,1,Corona
4.2645,34.31,61.059,42.367,94.747,88.817,128.75,113.76,56.575,128.33,104.4,27.237,60.275,24.451,44.829,98.352,68.143,125.87,53.423,41.037,46.271,143.86,127.78,50.958,107.49,57.194,43.331,21.931,24.305,101.33,85.467,1,Corona
198.09,60.153,24.035,39.48,26.821,60.45,35.277,30.969,127.11,113.7,57.222,103.39,140.19,139.78,36.097,76.371,179.15,53.75,89.8,114.28,64.852,147.1,134.46,9.6217,99.321,50.038,105.02,90.325,78.434,52.477,90.767,1,Corona
11.259,68.36,52.079,30.72,76.478,55.643,118.39,38.159,134.64,116.63,57.051,66.611,90.747,221.73,16.516,44.263,50.307,99.42,18.073,67.903,51.835,90.456,67.627,29.441,155.97,7.8709,32.41,44.794,174.81,132.41,46.231,1,Corona
24.623,55.023,110.49,92.589,71.669,75.36,94.421,120.25,89.589,63.391,81.611,48.011,175.58,57.585,39.579,71.563,50.226,70.079,136.23,6.6826,89.05,53.622,78.315,190.91,8.3117,7.7952,80.837,19.615,100.07,47.965,56.017,1,Corona
7.5793,116.35,53.403,122.57,33.33,94.372,125.62,79.95,114.44,94.889,162.28,147.44,106.55,95.227,68.273,45.331,73.491,68.221,94.427,84.414,46.625,44.55,93.158,107.81,58.393,127.25,35.559,97.123,106.95,62.546,78.017,1,Corona
12.115,74.89,3.9233,28.38,6.5019,63.489,42.278,39.548,15.132,44.991,76.997,66.135,83.793,95.66,147.01,42.914,19.199,109.91,21.466,32.017,4.1166,24.576,120.54,79.096,35.921,32.63,29.263,51.728,108.08,27.415,83.858,1,Corona
15.885,79.366,73.137,119.52,43.843,93.951,81.002,113.19,65.101,14.343,36.95,161.08,52.633,67.961,74.615,105.74,71.891,66.362,27.979,139.8,174.64,179.45,84.142,98.945,60.27,53.812,188.68,138.81,78.516,158.54,23.902,1,Corona
71.164,45.12,34.079,111.34,23.927,43.843,20.676,68.889,58.009,67.23,78.828,78.718,36.109,67.578,72.79,54.496,66.309,45.515,98.122,49.077,33.723,56.894,99.331,58.86,67.487,19.277,17.956,117.92,97.236,102.36,38.727,1,Corona
81.373,48.16,45.395,58.793,115.29,122.77,84.927,57.95,13.606,54.471,76.591,100.48,29.485,74.093,38.811,68.07,137.7,42.879,87.938,44.341,122.53,87.369,152.57,90.959,197.43,82.673,19.227,58.13,102.72,127.57,88.053,1,Corona
52.753,70.781,93.639,85.875,67.641,139.01,19.678,85.268,87.09,75.142,53.284,86.112,148.56,75.796,135.42,11.798,73.96,66.352,55.428,124.34,93.875,26.233,115.13,80.1,2.3658,42.361,116.21,45.255,46.25,22.057,135.81,1,Corona
5.4253,89.673,106.59,50.832,60.379,79.594,67.034,34.183,44.149,49.328,104.23,71.938,56.235,40.006,49.688,23.57,94.52,111.01,60.06,21.172,5.9001,107.51,104.93,161.86,25.221,71.51,72.031,120.55,108.13,62.567,151.58,1,Corona
15.606,69.669,92.518,14.162,82.443,129.38,157.53,70.06,29.18,97.115,145.65,132.52,80.264,160.58,59.711,76.767,5.1024,120.62,126.17,105.56,94.194,107.54,176.13,51.444,139.99,49.093,107.71,129.65,40.381,56.627,67.063,1,Corona
79.002,98.732,102.23,163.3,164.38,40.203,192.84,65.314,37.207,96.013,101.83,43.465,112.86,46.95,105.52,33.102,27.53,36.538,117.73,119.12,118.92,26.894,75.62,148.17,147.41,188.38,41.278,110.85,48.023,45.189,52.12,1,Corona
16.162,33.317,56.334,63.34,58.029,71.39,80.454,98.155,114.6,46.735,107.18,21.614,83.284,69.745,48.642,58.726,79.827,32.014,82.314,66.239,165.92,69.73,96.605,131.71,145.81,51.902,53.611,49.092,96.468,31.687,129.37,1,Corona
11.996,46.291,54.02,23.425,47.888,79.882,102.73,99.546,82.151,53.95,14.268,50.643,68.759,59.602,104.16,12.572,243.91,153.73,97.13,68.458,27.557,91.586,146.8,64.708,49.471,52.391,88.753,44.095,115.53,96.173,55.834,1,Corona
31.39,100.78,186.54,76.87,120.33,22.159,31.259,104.17,133.42,199.16,151.79,28.99,48.048,73.769,11.674,79.313,108.42,71.627,104.14,28.952,65.566,28.699,118.35,131.18,43.212,108.81,116.29,156.32,135.55,86.981,135.73,1,Corona
83.062,95.985,82.706,33.357,102.07,61.42,14.647,84.988,21.857,154.82,60.685,31.025,106.92,92.226,135.21,48.343,78.437,26.727,38.661,85.931,151.24,48.118,89.318,52.928,27.044,112.41,129.81,115.13,53.827,50.638,41.257,1,Corona
20.728,150.7,60.194,50.218,66.088,34.077,136.62,99.005,67.064,73.537,56.772,54.058,70.913,98.73,157.18,181.7,112.88,98.003,60.886,156.57,180.09,50.73,215.68,26.893,136.85,59.328,111.39,66.655,31.451,211.06,47.373,1,Corona
85.466,70.112,73.552,88.665,149.13,161.45,47.848,99.299,52.624,71.979,34.849,27.511,44.979,88.539,35.515,2.239,14.753,65.246,7.8523,139.43,84.002,81.533,33.928,72.715,86.068,79.454,68.863,93.053,71.588,68.763,85.731,1,Corona
32.851,54.59,42.412,33.838,80.724,66.787,151.31,181.75,60.291,63.468,117.47,55.603,117.51,180.84,112.52,144.69,100.58,106.67,177.61,7.6903,131.71,149.24,70.196,114.04,53.061,59.791,63.253,113.5,115.69,27.445,56.987,1,Corona
