F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,Label
0.62336,0.5058,0.064589,1.0449,1.9523,2.4109,2.1729,0.81969,0.96162,0.12495,0.086174,0.20685,0.13254,0.30836,0.16842,0.02405,0.11333,0.32635,0.22528,0.071267,0.014689,0.20783,0.059973,0.21619,0.14958,0.13775,0.074464,0.23299,0.14012,0.1789,0.05829,0.15366,0.025777,0.19013,0.010411,0.14786,0.15801,0.12856,0.20816,0.14672,0.078911,0.041164,0.073819,0.2338,0.034486,0.22144,0.18186,0.096548,1,Corona
0.85636,0.40538,0.21862,1.035,2.0341,2.1519,2.077,0.92148,1.0029,0.35566,0.21479,0.27616,0.0067049,0.34324,0.15319,0.22204,0.19132,0.26531,0.052243,0.16536,0.12208,0.051432,0.016781,0.10003,0.26152,0.15192,0.23201,0.1644,0.015628,0.19024,0.073865,0.12192,0.17917,0.1075,0.066034,0.12363,0.14376,0.078068,0.14133,0.13765,0.034654,0.15409,0.059131,0.076657,0.30741,0.11496,0.097134,0.14448,1,Corona
0.48092,0.13804,0.27539,0.90699,2.2355,1.6362,0.24679,1.703,1.1782,0.29688,0.31386,0.30144,0.55118,0.82355,0.10793,0.085981,0.12919,0.1207,0.0084802,0.061515,0.16636,0.21706,0.16024,0.021846,0.23396,0.15359,0.087706,0.030033,0.12779,0.2115,0.017441,0.0837,0.072311,0.1118,0.21547,0.063638,0.15994,0.23171,0.11131,0.16439,0.10834,0.036527,0.070075,0.15695,0.015179,0.096072,0.11943,0.14604,1,Corona
0.74988,0.37065,0.18143,0.82019,3.5338,2.6621,2.1947,0.37921,1.229,0.086383,0.089389,0.19174,0.36453,0.36226,0.20693,0.020788,0.1012,0.045413,0.25219,0.051611,0.050481,0.17254,0.17942,0.1276,0.13672,0.092812,0.082479,0.041447,0.069811,0.10546,0.024586,0.13155,0.079851,0.088461,0.068437,0.076917,0.090974,0.10557,0.08153,0.16219,0.062865,0.025478,0.075945,0.064421,0.079489,0.10249,0.14844,0.090566,1,Corona
0.67675,0.40963,0.087704,1.0324,2.0511,1.7061,1.649,1.0755,1.1226,0.21751,0.28685,0.68834,0.24135,0.54546,0.10132,0.08764,0.13383,0.17132,0.039873,0.037684,0.11329,0.11207,0.15291,0.11847,0.024407,0.048156,0.091137,0.21046,0.22214,0.044387,0.23584,0.095596,0.06562,0.10605,0.16277,0.15008,0.11816,0.029512,0.19552,0.058023,0.14391,0.041868,0.10448,0.15039,0.18456,0.064493,0.24191,0.044443,1,Corona
0.72508,0.36458,0.25773,1.2998,2.3911,2.3632,1.9478,1.2727,1.1626,0.2453,0.17818,0.36427,0.097398,0.38576,0.055036,0.17099,0.29564,0.030724,0.068543,0.091625,0.071999,0.12903,0.12623,0.16861,0.17178,0.018463,0.20059,0.080149,0.18359,0.042081,0.19128,0.24301,0.087258,0.045298,0.0090411,0.017998,0.028394,0.25048,0.17808,0.060705,0.15195,0.17247,0.18198,0.083505,0.022117,0.30169,0.085,0.097282,1,Corona
1.1127,0.621,0.19261,0.82245,1.833,1.6804,1.2677,1.2471,1.1907,0.080184,0.15759,0.27061,0.071713,0.31584,0.2691,0.23433,0.32369,0.12768,0.061018,0.091204,0.10022,0.10596,0.20007,0.066381,0.025995,0.24619,0.15037,0.12449,0.19113,0.13792,0.095057,0.15477,0.15148,0.019166,0.070304,0.055404,0.17304,0.21838,0.097373,0.18556,0.030866,0.094691,0.089663,0.11238,0.19195,0.0645,0.10273,0.14456,1,Corona
0.68306,0.41888,0.096614,0.68625,1.25,1.0484,0.85336,1.1776,1.406,0.28448,0.3498,0.63532,0.70361,0.66117,0.23808,0.21592,0.28081,0.16862,0.25191,0.11488,0.074538,0.19269,0.10286,0.06092,0.13275,0.1991,0.066876,0.050701,0.21776,0.073589,0.148,0.27193,0.12657,0.21066,0.024583,0.17819,0.050929,0.073524,0.12398,0.17741,0.069366,0.11286,0.082719,0.052645,0.15511,0.032179,0.075496,0.095861,1,Corona
1.0016,0.54973,0.15962,0.98812,1.6479,1.8164,1.3682,0.66873,1.1104,0.11001,0.058458,0.12968,0.40159,0.42963,0.035384,0.11901,0.17772,0.094895,0.17907,0.024826,0.060755,0.11725,0.1744,0.18906,0.076189,0.20338,0.16598,0.15402,0.081862,0.21229,0.1841,0.086022,0.21145,0.026285,0.048821,0.076132,0.27709,0.012005,0.14403,0.10197,0.1648,0.16194,0.42552,0.035721,0.045294,0.16425,0.11807,0.051456,1,Corona
0.84378,0.39169,0.22886,1.3535,2.6522,1.9678,2.0314,1.4799,1.2409,0.25813,0.39397,0.30429,0.40638,0.46691,0.2865,0.18222,0.27514,0.15833,0.14158,0.077767,0.18802,0.061626,0.19789,0.039161,0.034147,0.084524,0.23529,0.17598,0.081701,0.062975,0.28152,0.061696,0.11285,0.10039,0.17776,0.08176,0.13155,0.15498,0.11742,0.12109,0.035501,0.10708,0.14012,0.046625,0.13321,0.21806,0.16558,0.078244,1,Corona
0.6068,0.35074,0.15926,1.0774,1.8214,2.2484,1.7161,0.55892,0.917,0.42077,0.34194,0.061399,0.14051,0.35176,0.20211,0.27955,0.19255,0.05629,0.070139,0.23321,0.42332,0.075664,0.15691,0.11664,0.11668,0.11864,0.047504,0.21787,0.13129,0.058247,0.15901,0.19295,0.17908,0.099958,0.20726,0.035353,0.12768,0.16461,0.23788,0.048477,0.13913,0.16379,0.058617,0.23018,0.15662,0.10925,0.21216,0.13145,1,Corona
0.83028,0.37941,0.22326,1.3481,2.9574,2.5129,2.2666,1.4929,1.1775,0.23497,0.12304,0.23854,0.17072,0.26231,0.17318,0.18241,0.21758,0.066703,0.23394,0.14435,0.098509,0.025313,0.055999,0.11896,0.19846,0.19133,0.24013,0.10901,0.30174,0.20258,0.037599,0.025284,0.092153,0.079117,0.13753,0.020901,0.16213,0.12103,0.15256,0.21425,0.034727,0.13626,0.08266,0.088759,0.20161,0.14331,0.11527,0.13204,1,Corona
0.86152,0.57679,0.14548,0.86332,1.5874,1.817,1.3195,1.0515,1.1048,0.22497,0.23848,0.53425,0.26377,0.37244,0.1307,0.083587,0.10328,0.29215,0.24392,0.29816,0.088485,0.076567,0.03346,0.16316,0.26424,0.069827,0.27798,0.082586,0.11849,0.13816,0.055368,0.14775,0.046999,0.1767,0.16496,0.093629,0.04131,0.16703,0.16692,0.13064,0.13967,0.19922,0.29335,0.10083,0.25688,0.034837,0.074283,0.080441,1,Corona
0.52336,0.34649,0.11574,1.3452,2.7525,2.5443,2.0252,0.79427,0.95107,0.037366,0.09474,0.10379,0.52629,0.55601,0.32039,0.22384,0.23779,0.055138,0.046282,0.07213,0.23122,0.10977,0.19491,0.12411,0.018759,0.10272,0.028759,0.11373,0.078427,0.05632,0.058297,0.2694,0.043859,0.19596,0.12226,0.071553,0.1637,0.25308,0.16053,0.27685,0.27889,0.15586,0.29292,0.11911,0.024436,0.075405,0.12869,0.11371,1,Corona
0.98098,0.50901,0.076681,0.91823,1.973,1.7458,1.2779,0.74181,1.2798,0.092003,0.122,0.53163,0.39088,0.62353,0.037619,0.15619,0.32266,0.17054,0.013394,0.10707,0.28435,0.051408,0.23513,0.086797,0.25951,0.087186,0.10516,0.12155,0.1762,0.11478,0.09726,0.14401,0.12617,0.12081,0.11411,0.24822,0.1971,0.055367,0.12201,0.085054,0.10303,0.06556,0.16459,0.13209,0.15081,0.17068,0.1427,0.083959,1,Corona
