F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,Label
0.77146,0.42334,0.076422,0.071693,0.070473,0.085757,0.43657,1.9471,1.6588,2.3157,2.0685,1.2442,0.8942,0.11203,0.067202,0.24767,0.097773,0.162,0.18076,0.060187,0.16103,0.07829,0.045486,0.0327,0.045015,0.012358,0.091066,0.021993,0.016087,0.086568,0.044044,0.079509,0.05424,0.0069436,0.06387,0.0079297,0.020109,0.018745,0.059459,0.069432,0.041009,0.045052,0.069831,0.010671,0.056448,0.032203,0.033846,0.020065,0.10764,0.045257,0.022888,1,Corona
0.86533,0.43708,0.17228,0.11365,0.15499,0.094355,0.47281,2.1154,1.5449,2.1732,1.916,1.138,0.86995,0.057304,0.2145,0.22775,0.036089,0.13621,0.047549,0.093072,0.083789,0.027775,0.044097,0.063456,0.046651,0.083276,0.072476,0.10369,0.079548,0.040249,0.015291,0.04353,0.077682,0.038789,0.069114,0.073389,0.034108,0.014596,0.03745,0.043211,0.049242,0.022896,0.041623,0.024683,0.04698,0.0097339,0.03345,0.038192,0.082341,0.023825,0.041574,1,Corona
0.42802,0.16335,0.16045,0.04551,0.071424,0.011229,0.39054,2.1655,1.2889,1.7661,0.33953,1.8207,1.1377,0.33763,0.30079,0.3331,0.44163,0.068019,0.073145,0.13889,0.17003,0.043799,0.031137,0.053687,0.035947,0.099827,0.027462,0.0071798,0.034168,0.079474,0.017535,0.026515,0.034724,0.040617,0.012845,0.0055548,0.02325,0.020591,0.03757,0.031802,0.067645,0.058534,0.008405,0.03079,0.011425,0.050193,0.016361,0.07133,0.037763,0.025747,0.047915,1,Corona
0.64103,0.3509,0.11846,0.13818,0.20154,0.082135,0.18074,3.5214,1.3004,2.5527,2.2412,0.817,1.283,0.079208,0.020527,0.1947,0.31383,0.10967,0.16271,0.058605,0.14082,0.074191,0.013979,0.042191,0.042815,0.090207,0.074543,0.02819,0.031671,0.05,0.045954,0.014382,0.02585,0.0030347,0.024712,0.02213,0.026986,0.025054,0.0074654,0.065402,0.011963,0.012224,0.02732,0.078986,0.017673,0.024317,0.024246,0.02896,0.01633,0.023319,0.042392,1,Corona
0.80413,0.46588,0.024182,0.041914,0.11594,0.12769,0.25601,2.0315,1.2274,1.6804,1.6364,1.2652,1.096,0.12094,0.33694,0.5705,0.38062,0.2142,0.082961,0.071402,0.073709,0.091751,0.085694,0.089953,0.1033,0.04737,0.085964,0.058435,0.032328,0.052783,0.034846,0.023849,0.050853,0.026552,0.026663,0.055077,0.027863,0.019631,0.062156,0.031338,0.026522,0.061903,0.016577,0.038226,0.071655,0.039947,0.061179,0.020305,0.047896,0.063616,0.024456,1,Corona
0.72326,0.3432,0.22318,0.1627,0.060085,0.047706,0.5043,2.3473,1.5649,2.3548,2.0099,1.4277,1.152,0.13146,0.25795,0.25611,0.11357,0.04428,0.14393,0.09722,0.097034,0.013475,0.04528,0.030981,0.021769,0.071754,0.053636,0.039528,0.032273,0.097216,0.077342,0.042803,0.091736,0.019206,0.046995,0.0095979,0.059606,0.054271,0.032201,0.02648,0.027862,0.077586,0.038294,0.030661,0.10046,0.046147,0.023087,0.045691,0.007453,0.04519,0.024636,1,Corona
0.9157,0.51083,0.16637,0.22921,0.025597,0.052141,0.34572,1.8575,1.2523,1.7174,1.2399,1.5099,1.1732,0.11812,0.1545,0.22841,0.11192,0.16874,0.16223,0.1695,0.14545,0.02719,0.035004,0.094237,0.0089247,0.02905,0.084777,0.083226,0.01261,0.0093344,0.070219,0.050749,0.085644,0.0078763,0.031647,0.030487,0.058044,0.049851,0.046268,0.029091,0.04024,0.023794,0.055633,0.0089006,0.0083369,0.010454,0.031403,0.037766,0.049074,0.059781,0.042201,1,Corona
0.69237,0.37802,0.10822,0.1462,0.029745,0.02172,0.30027,1.3565,1.1155,1.2738,0.71181,1.5594,1.2652,0.19105,0.28764,0.61363,0.65347,0.088029,0.054172,0.11357,0.039364,0.059174,0.043003,0.023,0.051758,0.11502,0.055035,0.0092599,0.082605,0.017375,0.020643,0.090689,0.044474,0.028608,0.068055,0.031751,0.062792,0.04676,0.046996,0.03995,0.04981,0.024303,0.021024,0.062019,0.020679,0.026823,0.056842,0.021713,0.063839,0.044602,0.033869,1,Corona
0.79214,0.44123,0.087759,0.088841,0.010746,0.020617,0.42153,1.7923,1.4019,1.806,1.494,1.1086,1.0519,0.044425,0.083537,0.10556,0.13456,0.14676,0.10799,0.11378,0.099742,0.059591,0.054842,0.079132,0.084151,0.027091,0.043121,0.071851,0.027064,0.046832,0.052194,0.04211,0.046897,0.0011842,0.044519,0.04462,0.059079,0.023472,0.046464,0.043587,0.041619,0.054093,0.031502,0.053606,0.057422,0.054185,0.023481,0.055201,0.056316,0.065803,0.024125,1,Corona
0.90737,0.45066,0.17301,0.092011,0.068513,0.092845,0.47148,2.6357,1.6584,2.2981,2.0792,1.6867,1.1457,0.27474,0.24813,0.29528,0.30352,0.10883,0.18063,0.10115,0.073892,0.0174,0.092502,0.02157,0.024288,0.032987,0.018477,0.071807,0.035072,0.063294,0.021142,0.015731,0.058505,0.049419,0.048361,0.02882,0.056184,0.019383,0.010561,0.047465,0.039921,0.058463,0.069458,0.024003,0.069127,0.0049375,0.055765,0.042171,0.0561,0.033589,0.055963,1,Corona
0.81881,0.47491,0.15301,0.25202,0.018592,0.073619,0.43076,1.7882,1.5455,2.2128,1.7597,0.87753,0.82734,0.12028,0.1138,0.16835,0.18039,0.12469,0.20788,0.1381,0.17742,0.097987,0.027571,0.015785,0.056082,0.095403,0.11708,0.045606,0.087937,0.072686,0.11247,0.046771,0.029319,0.025837,0.060668,0.033699,0.02999,0.030848,0.03386,0.0092397,0.011957,0.057806,0.048813,0.030365,0.045978,0.059879,0.033828,0.056535,0.06735,0.018438,0.028911,1,Corona
0.87748,0.42479,0.14063,0.076977,0.034952,0.023883,0.33957,2.8809,1.7431,2.4713,2.3028,1.6706,1.0541,0.15891,0.20486,0.28209,0.21542,0.13477,0.12618,0.18165,0.13254,0.11087,0.11502,0.099346,0.014401,0.045719,0.022967,0.069204,0.088266,0.015824,0.010264,0.031362,0.032286,0.023041,0.041832,0.047579,0.047239,0.030169,0.091612,0.046911,0.075151,0.093289,0.051944,0.12139,0.0414,0.016471,0.037705,0.023672,0.035389,0.096959,0.060372,1,Corona
0.69108,0.34824,0.19441,0.16966,0.095566,0.11113,0.42384,1.6364,1.2645,1.6418,1.2769,1.4617,1.2387,0.067918,0.14121,0.27649,0.45491,0.057443,0.15643,0.052739,0.029377,0.065626,0.098388,0.055618,0.026496,0.13794,0.039081,0.057198,0.042251,0.060226,0.080776,0.054312,0.064076,0.030633,0.080612,0.08531,0.049712,0.017734,0.047137,0.037332,0.033387,0.03524,0.047483,0.06764,0.038182,0.0374,0.058725,0.021534,0.055699,0.032091,0.037616,1,Corona
0.65844,0.31797,0.18058,0.11237,0.077323,0.1011,0.58658,2.5924,1.9055,2.6148,1.9617,1.1288,0.94389,0.20159,0.24262,0.19031,0.22163,0.23904,0.19047,0.16768,0.056222,0.17876,0.053136,0.11256,0.057397,0.025442,0.071712,0.085682,0.039831,0.022978,0.052525,0.017407,0.032797,0.010136,0.035012,0.016684,0.053433,0.034947,0.049267,0.021458,0.035229,0.073073,0.042777,0.053297,0.026406,0.053627,0.039986,0.033324,0.04917,0.078888,0.07356,1,Corona
0.79153,0.45964,0.14931,0.14383,0.041218,0.073322,0.36678,1.7807,1.1903,1.7543,1.3942,1.3984,1.2927,0.096485,0.18351,0.37704,0.30626,0.072854,0.07291,0.068884,0.071464,0.078109,0.011573,0.047363,0.076149,0.054412,0.083054,0.052239,0.04117,0.027294,0.073021,0.02316,0.058236,0.12115,0.063371,0.006221,0.067344,0.030251,0.076821,0.036585,0.053079,0.069779,0.045024,0.041536,0.043675,0.025133,0.041291,0.067051,0.017538,0.056062,0.039405,1,Corona
0.69,0.40522,0.054129,0.080173,0.058101,0.039491,0.34361,1.7318,0.99827,1.2392,0.048394,2.1839,1.5757,0.3831,0.49802,0.67856,0.74012,0.14303,0.1244,0.074458,0.08603,0.059312,0.02914,0.023639,0.071609,0.067937,0.054083,0.02951,0.033417,0.061686,0.016784,0.053704,0.021733,0.04071,0.047251,0.044298,0.02251,0.050142,0.062354,0.038363,0.048293,0.046527,0.050373,0.053778,0.042503,0.066283,0.063532,0.041414,0.051761,0.017879,0.048314,1,Corona
0.68677,0.32759,0.10315,0.035763,0.13889,0.14768,0.42555,1.2466,2.1185,1.6026,0.75419,1.3934,0.94421,0.096835,0.22573,0.29234,0.1986,0.09437,0.11835,0.22767,0.16466,0.043226,0.0043766,0.041344,0.017012,0.077003,0.025588,0.0059793,0.018092,0.022173,0.059835,0.048279,0.0086272,0.0099576,0.043886,0.078418,0.032112,0.044853,0.028827,0.03257,0.052679,0.025031,0.040117,0.03318,0.037866,0.055135,0.09155,0.015815,0.039288,0.045814,0.058427,1,Corona
0.80154,0.46434,0.062591,0.076141,0.10402,0.11226,0.69747,2.9847,2.0515,2.9576,2.1428,1.1927,0.74515,0.12994,0.085948,0.17747,0.45434,0.22102,0.27008,0.27987,0.14296,0.069366,0.19282,0.012836,0.099782,0.010636,0.067272,0.032676,0.074734,0.037539,0.078163,0.083994,0.020002,0.081388,0.021205,0.039849,0.038667,0.026624,0.015473,0.033458,0.011254,0.097947,0.03257,0.055134,0.037855,0.039515,0.045562,0.0731,0.11823,0.040228,0.065302,1,Corona
0.55861,0.29703,0.15148,0.15952,0.053896,0.23877,0.50259,2.3959,1.6684,2.2877,1.9808,1.1654,1.0987,0.087458,0.20363,0.29015,0.13022,0.039214,0.10309,0.13126,0.085919,0.050767,0.15724,0.046192,0.14116,0.06267,0.060701,0.022039,0.052266,0.014072,0.069145,0.064791,0.065735,0.035062,0.054221,0.075162,0.062781,0.045877,0.033656,0.035918,0.036967,0.047146,0.074407,0.050233,0.029967,0.054053,0.063023,0.051809,0.0656,0.041377,0.065142,1,Corona
0.98873,0.53319,0.16657,0.14618,0.018409,0.11153,0.69515,2.6851,1.441,2.2763,1.4545,1.0384,0.2684,0.31133,0.25337,0.24245,0.35807,0.23155,0.14621,0.20086,0.15723,0.016922,0.078549,0.064533,0.13407,0.07856,0.10132,0.055022,0.01333,0.093919,0.044978,0.0099936,0.078289,0.045563,0.059056,0.091121,0.034659,0.065035,0.084449,0.044474,0.058612,0.066911,0.052176,0.014512,0.063601,0.084443,0.067485,0.017626,0.016107,0.032793,0.091,1,Corona
0.87316,0.38316,0.28271,0.17838,0.11444,0.07628,0.54054,3.0796,1.9184,2.6789,2.2624,1.4876,0.94424,0.078975,0.17928,0.08527,0.2641,0.18441,0.2121,0.23624,0.1143,0.076162,0.062055,0.021492,0.049,0.028058,0.051758,0.10394,0.02954,0.0049766,0.0243,0.061537,0.097973,0.024875,0.06773,0.089284,0.043871,0.032714,0.02661,0.10509,0.014719,0.092572,0.035262,0.071464,0.050496,0.10119,0.028997,0.040222,0.039191,0.051397,0.022583,1,Corona
0.55939,0.30626,0.12248,0.10658,0.094992,0.075503,0.38595,2.491,1.9307,2.8975,2.0617,1.2455,0.99648,0.24125,0.17198,0.11786,0.15127,0.060329,0.07884,0.20192,0.18487,0.025993,0.075561,0.07676,0.057251,0.074149,0.11245,0.050876,0.078831,0.034921,0.096017,0.037341,0.072385,0.056503,0.062393,0.022598,0.045166,0.049554,0.049013,0.052424,0.039407,0.017753,0.04267,0.046689,0.037366,0.052613,0.084868,0.050764,0.025776,0.056743,0.0157,1,Corona
0.80698,0.43754,0.095071,0.11896,0.03978,0.043459,0.46606,3.0767,1.8518,2.6571,2.3404,1.4055,1.1541,0.052219,0.11688,0.21381,0.14509,0.15942,0.15862,0.21198,0.16332,0.046358,0.080646,0.058535,0.082239,0.067536,0.034596,0.10215,0.040454,0.019669,0.025679,0.040406,0.06094,0.074802,0.024045,0.018583,0.025809,0.060838,0.09799,0.034749,0.02728,0.046551,0.035563,0.072972,0.017394,0.080423,0.048359,0.056682,0.048822,0.035597,0.069266,1,Corona
0.88497,0.45407,0.20392,0.28208,0.10232,0.072443,0.56572,2.2323,1.7339,2.6028,1.8996,0.86653,0.90373,0.25004,0.19378,0.099977,0.38624,0.24466,0.16436,0.2855,0.12677,0.049356,0.045387,0.084166,0.079979,0.017827,0.091985,0.076069,0.058862,0.028398,0.022788,0.041995,0.054602,0.055447,0.039399,0.013183,0.062372,0.07463,0.036622,0.028433,0.074476,0.061639,0.071926,0.035813,0.061868,0.082883,0.01911,0.076134,0.03231,0.026768,0.017271,1,Corona
0.80812,0.413,0.11315,0.071909,0.18215,0.066147,0.50923,3.1284,2.0663,2.7357,2.366,1.8747,1.4536,0.05172,0.10539,0.15384,0.1914,0.14045,0.1268,0.19075,0.087776,0.037726,0.046017,0.055286,0.04555,0.12417,0.023256,0.10612,0.020417,0.034898,0.10289,0.029708,0.014951,0.024813,0.01536,0.031829,0.05486,0.0096119,0.043139,0.059188,0.051003,0.012217,0.033537,0.073539,0.072736,0.059214,0.018391,0.039838,0.044409,0.0093321,0.071215,1,Corona
0.90219,0.50718,0.075648,0.1155,0.048014,0.052679,0.51532,2.3888,2.0309,2.7242,1.8945,1.231,1.0648,0.19479,0.251,0.082519,0.16062,0.12049,0.13926,0.18467,0.14163,0.078339,0.021587,0.011847,0.10982,0.01362,0.079966,0.076247,0.090386,0.12303,0.05629,0.064955,0.069044,0.074932,0.044547,0.064334,0.079917,0.086548,0.072829,0.020361,0.079566,0.056384,0.019027,0.02227,0.013263,0.060332,0.091397,0.099715,0.030005,0.024996,0.048686,1,Corona
0.68395,0.32617,0.18211,0.19141,0.097181,0.153,0.48563,3.3313,2.1859,2.8466,2.324,1.7074,1.194,0.18413,0.14773,0.2249,0.1318,0.17688,0.13076,0.18886,0.13507,0.015857,0.060495,0.037496,0.10585,0.03856,0.033262,0.046582,0.10106,0.059772,0.040599,0.076928,0.058485,0.036674,0.0083597,0.036227,0.044881,0.034483,0.015281,0.0362,0.046338,0.028759,0.021703,0.10947,0.057275,0.092265,0.035346,0.04655,0.062569,0.01368,0.03002,1,Corona
0.61789,0.33325,0.14299,0.026189,0.093305,0.069635,0.50653,2.93,2.0811,2.9872,2.3479,1.2839,1.0891,0.030449,0.17966,0.22434,0.13682,0.22731,0.38397,0.22748,0.10381,0.11052,0.074081,0.091632,0.04966,0.069672,0.047521,0.0061361,0.062921,0.09965,0.085829,0.07891,0.099367,0.060398,0.0094138,0.025034,0.061038,0.026937,0.048913,0.042854,0.04195,0.043664,0.049549,0.063971,0.07799,0.055738,0.038608,0.059959,0.066531,0.041353,0.031004,1,Corona
0.848,0.58411,0.089833,0.21077,0.30045,0.084664,0.62161,7.2501,3.3501,4.1697,0.435,0.17156,0.25649,0.1387,0.10851,0.11136,0.071733,0.10363,0.079312,0.13936,0.022073,0.042782,0.011706,0.058002,0.046222,0.086636,0.030239,0.062638,0.086819,0.023656,0.054408,0.037278,0.04692,0.013856,0.029425,0.030828,0.012212,0.043488,0.018357,0.023603,0.060823,0.036576,0.015213,0.03896,0.065536,0.040019,0.035441,0.073885,0.027246,0.063935,0.018082,1,Corona
0.59631,0.27367,0.1845,0.098159,0.11621,0.12358,0.77531,2.9849,2.3788,3.2719,2.2331,0.98094,0.76109,0.24611,0.19544,0.19934,0.26467,0.14068,0.19389,0.15696,0.23636,0.11099,0.11631,0.0061039,0.03633,0.037611,0.030313,0.060754,0.048189,0.031474,0.0075794,0.07256,0.048378,0.022533,0.034768,0.061847,0.057495,0.071573,0.066149,0.09958,0.022026,0.0079801,0.03666,0.020549,0.012403,0.020315,0.042655,0.011759,0.0084801,0.037751,0.021436,1,Corona
0.8849,0.48807,0.088537,0.12488,0.0093584,0.068023,0.3913,2.2242,1.3779,1.636,0.29439,2.5174,1.7878,0.60617,0.7136,0.85606,0.92757,0.046751,0.065694,0.070202,0.15189,0.036777,0.036295,0.0579,0.11683,0.06477,0.014103,0.078433,0.051107,0.070965,0.093887,0.094244,0.11737,0.038567,0.027645,0.024215,0.071646,0.021326,0.01988,0.11631,0.027769,0.030436,0.034467,0.047257,0.056461,0.07172,0.10362,0.00786,0.053024,0.056981,0.071206,1,Corona
0.81497,0.43051,0.14005,0.14325,0.16126,0.18028,0.60366,2.4679,1.881,2.3983,1.2076,1.7791,0.79408,0.13627,0.32987,0.20633,0.3413,0.15826,0.16461,0.22418,0.1204,0.063214,0.081162,0.10085,0.095861,0.09541,0.061258,0.1023,0.020768,0.031033,0.064999,0.10854,0.060541,0.0046573,0.034576,0.08546,0.046964,0.013449,0.078043,0.02217,0.011318,0.022463,0.038042,0.080144,0.069304,0.040632,0.037659,0.031887,0.057828,0.0607,0.087897,1,Corona
0.91565,0.44181,0.22251,0.22286,0.077967,0.2306,0.51703,3.1442,1.9897,2.252,0.54457,3.0589,1.9568,0.54362,0.57812,0.57413,0.54542,0.10024,0.046869,0.13002,0.20982,0.1325,0.035836,0.052507,0.031401,0.0142,0.12353,0.068975,0.035146,0.10332,0.078933,0.059654,0.064756,0.018333,0.049243,0.019738,0.0077221,0.080056,0.038925,0.023466,0.10418,0.053688,0.063339,0.068973,0.041015,0.11026,0.050041,0.054093,0.1566,0.018467,0.0078842,1,Corona
0.79697,0.476,0.078828,0.087158,0.12252,0.31613,0.25884,0.88971,1.1387,1.2079,1.8037,2.6269,0.94484,1.0781,0.79295,0.51792,0.84579,0.31148,0.13012,0.10785,0.10822,0.045112,0.080909,0.059574,0.07586,0.031227,0.060322,0.093904,0.074215,0.045987,0.097535,0.048022,0.026341,0.05423,0.028164,0.023218,0.016942,0.041104,0.0079417,0.039156,0.0070168,0.069645,0.046007,0.035856,0.014215,0.050329,0.017137,0.065048,0.089641,0.0090391,0.01712,1,Corona
0.81204,0.46489,0.16991,0.17447,0.028553,0.1092,0.58705,3.4019,2.4495,3.562,2.0389,1.0965,0.71795,0.20674,0.2866,0.34332,0.45536,0.31968,0.33393,0.24636,0.19433,0.049286,0.11071,0.055785,0.0068738,0.06235,0.0364,0.056541,0.101,0.072921,0.075758,0.036134,0.013109,0.039371,0.03528,0.11127,0.11697,0.083579,0.053984,0.093112,0.047872,0.077835,0.034553,0.059511,0.068581,0.038876,0.14312,0.039947,0.075035,0.060186,0.077738,1,Corona
0.72067,0.35866,0.11256,0.096628,0.061263,0.081818,0.55675,3.6862,2.0398,2.6406,3.158,2.7959,1.1781,0.47419,0.49769,0.53094,0.40068,0.13133,0.10836,0.094314,0.08641,0.15467,0.094641,0.044069,0.051466,0.12962,0.11108,0.094135,0.023503,0.087128,0.031059,0.049552,0.05525,0.0030524,0.011968,0.042648,0.056066,0.022923,0.097267,0.052047,0.074896,0.048385,0.090737,0.079063,0.0037071,0.02593,0.041735,0.11197,0.045954,0.051182,0.055981,1,Corona
0.81682,0.50025,0.028504,0.086094,0.084775,0.087201,0.72109,3.1192,2.2094,2.906,1.724,1.4141,0.58006,0.37269,0.41876,0.30101,0.60314,0.18075,0.22442,0.23859,0.25577,0.037365,0.055702,0.14487,0.079656,0.13319,0.050451,0.056794,0.063933,0.035967,0.12081,0.038565,0.12036,0.028291,0.06929,0.037535,0.071798,0.10334,0.04873,0.11439,0.03018,0.039025,0.054275,0.053143,0.019618,0.061005,0.067012,0.089304,0.085883,0.057147,0.038412,1,Corona
0.82401,0.29963,0.17898,0.2203,0.30973,0.023717,0.92842,2.7116,4.7493,3.7831,0.67422,0.95366,0.30325,0.029534,0.084559,0.14839,0.066875,0.085416,0.089093,0.049353,0.070156,0.078857,0.068429,0.084045,0.034994,0.096665,0.035333,0.088618,0.058031,0.092935,0.028679,0.044789,0.046416,0.0057627,0.037699,0.020523,0.014193,0.018994,0.025286,0.041545,0.031102,0.0055599,0.048243,0.041272,0.052039,0.033573,0.023698,0.059307,0.037069,0.062534,0.015532,1,Corona
0.84724,0.4288,0.35531,0.2553,0.30908,0.51497,1.1611,1.6347,2.107,3.8333,0.3824,0.79624,0.16173,0.14817,0.18058,0.17207,0.23831,0.067326,0.14771,0.11053,0.17916,0.06626,0.040436,0.073892,0.03771,0.01399,0.052096,0.016376,0.021948,0.042908,0.022623,0.065144,0.059825,0.032077,0.035956,0.025912,0.020373,0.050227,0.0085327,0.036072,0.053129,0.034522,0.078782,0.037247,0.078904,0.0090134,0.017134,0.084427,0.0023383,0.019071,0.052552,1,Corona
0.72328,0.40877,0.15116,0.16836,0.10852,0.079471,0.85217,2.8432,1.8186,2.6881,1.6271,1.0219,0.61371,0.30478,0.31177,0.32305,0.54926,0.14595,0.2641,0.21306,0.10276,0.067558,0.011668,0.080708,0.028723,0.0034085,0.049432,0.037448,0.034286,0.021903,0.054041,0.074006,0.038959,0.080178,0.057216,0.078605,0.046768,0.056681,0.033957,0.067944,0.01237,0.060526,0.10793,0.061147,0.021003,0.048367,0.02347,0.045942,0.065653,0.0071698,0.061083,1,Corona
0.61247,0.27285,0.11523,0.094595,0.12734,0.16325,0.74319,4.5595,2.4534,3.2964,2.8452,2.6394,1.23,0.249,0.37496,0.32769,0.3032,0.23193,0.20939,0.25839,0.20365,0.24291,0.074765,0.015754,0.066985,0.082426,0.09289,0.073011,0.020591,0.062466,0.091422,0.064552,0.099692,0.065183,0.030249,0.12145,0.05334,0.033923,0.024175,0.028278,0.018539,0.13872,0.09004,0.047472,0.064317,0.043783,0.027665,0.066856,0.03157,0.012831,0.026792,1,Corona
0.81878,0.40387,0.20138,0.22768,0.086719,0.062455,0.73242,5.0362,3.3163,4.5404,1.7804,0.88993,0.25059,0.3934,0.44073,0.63821,0.59021,0.18705,0.24137,0.12976,0.062726,0.058863,0.077182,0.0277,0.062064,0.045805,0.080862,0.10035,0.048999,0.072969,0.091418,0.029197,0.085655,0.051686,0.11154,0.083075,0.066555,0.04741,0.071665,0.052233,0.089727,0.10408,0.067647,0.059547,0.066217,0.077654,0.14712,0.032947,0.032023,0.069473,0.027181,1,Corona
0.94115,0.40292,0.25079,0.10104,0.18289,0.16599,1.1194,1.6895,3.3991,3.2451,0.98695,0.25135,0.55805,0.18401,0.47758,0.64661,0.27211,0.09814,0.21278,0.13837,0.078923,0.063638,0.057962,0.094742,0.047801,0.073815,0.11958,0.069268,0.072262,0.088,0.025305,0.081844,0.024542,0.031899,0.056001,0.068297,0.023699,0.039088,0.029152,0.074476,0.036848,0.042851,0.079462,0.055132,0.053533,0.036579,0.0015343,0.052276,0.097367,0.12181,0.015012,1,Corona
0.77931,0.35428,0.21815,0.19111,0.15282,0.13885,0.80361,2.6511,2.3866,3.2242,2.0255,0.94634,0.63093,0.17705,0.043614,0.2092,0.51657,0.1648,0.19458,0.14133,0.1855,0.11974,0.15701,0.074336,0.086377,0.084077,0.065938,0.045865,0.017747,0.068864,0.093672,0.02834,0.013083,0.084876,0.033132,0.028748,0.021632,0.060333,0.094169,0.077286,0.11858,0.017506,0.052876,0.0085734,0.041015,0.065311,0.069165,0.045445,0.057167,0.087925,0.034151,1,Corona
0.69139,0.38465,0.13276,0.23797,0.067137,0.24034,0.93804,3.8711,2.9121,4.1208,2.1526,1.0551,0.62977,0.28956,0.44792,0.51042,0.66634,0.21855,0.28655,0.26202,0.16742,0.09895,0.095283,0.048883,0.17527,0.022456,0.10418,0.075699,0.12951,0.044683,0.0095196,0.055135,0.081948,0.040562,0.043464,0.09461,0.016935,0.15787,0.01411,0.12326,0.14155,0.021202,0.03167,0.12074,0.012436,0.072285,0.045024,0.055067,0.078028,0.053869,0.063935,1,Corona
0.73143,0.41709,0.10208,0.081865,0.17259,0.16724,1.0027,3.6246,2.6247,3.6818,1.3829,0.7353,0.59312,0.33314,0.49386,0.35821,0.93559,0.087667,0.22011,0.24158,0.15334,0.055078,0.10601,0.11969,0.073727,0.024961,0.064554,0.048181,0.055089,0.0094537,0.024429,0.12205,0.0061521,0.051436,0.13752,0.087091,0.064375,0.014251,0.094662,0.054957,0.057453,0.097238,0.11158,0.10257,0.053582,0.017511,0.027178,0.15669,0.020514,0.07131,0.057019,1,Corona
0.71847,0.39558,0.07243,0.074332,0.10283,0.035971,0.64422,3.8445,2.5262,2.215,3.1129,2.6774,1.351,0.40585,0.58958,0.49511,0.52877,0.041381,0.10826,0.026232,0.070769,0.16831,0.039642,0.038192,0.068885,0.089856,0.023947,0.039047,0.0423,0.013358,0.064638,0.039864,0.08301,0.053213,0.044433,0.07524,0.081317,0.032803,0.0077484,0.035994,0.021086,0.036611,0.10742,0.042168,0.079243,0.02219,0.022505,0.093472,0.04816,0.06041,0.025371,1,Corona
0.96829,0.38597,0.26864,0.027622,0.15035,0.14893,1.1886,4.0177,8.8956,6.271,0.21421,0.44189,0.21305,0.083175,0.12079,0.28249,0.19769,0.046653,0.036925,0.073375,0.066756,0.08089,0.044283,0.095952,0.038328,0.093372,0.052865,0.035205,0.048672,0.047909,0.03748,0.04714,0.056717,0.090619,0.028262,0.083698,0.031839,0.064481,0.056609,0.042583,0.026119,0.046418,0.070598,0.033158,0.074614,0.033685,0.012552,0.025904,0.067789,0.049638,0.044102,1,Corona
